match_id,innings_number,over_num,bowler_id,bowler_name,bowler_over_number,actual_balls,expected_balls,legal_balls_count,expected_balls_count
1443098,1,2,555853,Mark Steketee,1,"0, 1, 2, 3, 4, 5, 6","1, 2, 3, 4, 5, 6",6,6
1443098,2,12,1170471,Tanveer Sangha,3,"12, 13, 14, 15, 16, 17, 18","13, 14, 15, 16, 17, 18",6,6
1449663,1,17,355269,James Neesham,3,"12, 13, 14, 15, 16, 17, 18","13, 14, 15, 16, 17, 18",6,6
1449663,1,8,1072026,Gideon Peters,1,"0, 1, 2, 3, 4, 5, 6","1, 2, 3, 4, 5, 6",6,6
1449663,2,2,1385637,Tristan Luus,1,"0, 1, 2, 3, 4","1, 2, 3, 4, 5, 6",4,6
1449663,2,8,1385637,Tristan Luus,2,"1, 5, 6, 7, 8, 9","7, 8, 9, 10, 11, 12",6,6
1459548,1,17,681117,Faheem Ashraf,3,"1, 2, 3, 4, 5, 18","13, 14, 15, 16, 17, 18",6,6
1459548,1,18,1072470,Shaheen Shah Afridi,4,"1, 2, 3, 4, 5, 24","19, 20, 21, 22, 23, 24",6,6
1459548,2,8,1139520,Tanzim Hasan Sakib,3,"12, 13, 14, 15, 16, 17, 18","13, 14, 15, 16, 17, 18",6,6
1459548,2,11,1139520,Tanzim Hasan Sakib,4,"18, 19, 20, 21","19, 20, 21, 22, 23, 24",3,6
1459550,1,18,927619,Khaled Ahmed,4,"18, 19, 20, 21, 22, 23, 24","19, 20, 21, 22, 23, 24",6,6
1459550,2,4,330902,Mustafizur Rahman,2,"6, 7, 8, 9, 10, 11, 12","7, 8, 9, 10, 11, 12",6,6
1459581,1,16,629080,Binura Fernando,3,"12, 13, 14, 15, 16, 17, 18","13, 14, 15, 16, 17, 18",6,6
1462192,1,5,552152,Dushmantha Chameera,2,"6, 7, 8, 9, 10, 11, 12","7, 8, 9, 10, 11, 12",6,6
1462192,2,19,276298,Andre Russell,3,"12, 13, 14, 15, 16, 17, 18","13, 14, 15, 16, 17, 18",6,6
1462192,2,14,391485,Jason Holder,2,"6, 7, 8, 9, 10, 11, 12","7, 8, 9, 10, 11, 12",6,6
1462192,2,10,927119,Ali Khan,1,"0, 1, 2, 3, 4, 5, 6","1, 2, 3, 4, 5, 6",6,6
1462192,2,17,1460538,Ibrar Ahmad,1,"0, 1, 2, 3, 4, 5, 6","1, 2, 3, 4, 5, 6",6,6
1466426,1,1,481896,Mohammed Shami,1,"0, 1, 2, 3, 4, 5, 6","1, 2, 3, 4, 5, 6",6,6
1466426,1,2,625371,Hardik Pandya,1,"0, 1, 2, 3, 4, 5, 6","1, 2, 3, 4, 5, 6",6,6
1466426,1,4,625371,Hardik Pandya,2,"6, 7, 8, 9, 10, 11, 12","7, 8, 9, 10, 11, 12",6,6
1466426,2,5,679567,Ben Dwarshuis,3,"12, 13, 14, 15, 16, 17, 18","13, 14, 15, 16, 17, 18",6,6
1473453,1,18,625371,Hardik Pandya,3,"12, 13, 14, 15, 16, 17, 18","13, 14, 15, 16, 17, 18",6,6
1473453,1,16,1209126,Ashwani Kumar,3,"12, 13, 14, 15, 16, 17, 18","13, 14, 15, 16, 17, 18",6,6
1473453,2,15,1176959,Akash Deep,4,"18, 19, 20, 21, 22, 23, 24","19, 20, 21, 22, 23, 24",6,6
1473459,2,6,696401,Marco Jansen,1,"0, 1, 2, 3, 4, 5, 6","1, 2, 3, 4, 5, 6",6,6
1473469,1,20,438362,Sandeep Sharma,4,"18, 19, 20, 21, 22, 23, 24","19, 20, 21, 22, 23, 24",6,6
1473469,2,19,537119,Mohit Sharma,4,"18, 19, 20, 21, 22, 23, 24","19, 20, 21, 22, 23, 24",6,6
1475256,1,6,391485,Jason Holder,1,"0, 1, 2, 3, 4, 6","1, 2, 3, 4, 5, 6",5,6
1475256,2,3,1072470,Shaheen Shah Afridi,2,"6, 7, 8, 9, 10, 11, 12","7, 8, 9, 10, 11, 12",6,6
