match_id,innings_number,batting_team_id,batting_team_name,bowling_team_id,bowling_team_name,runs,target,final_over_limit
1443098,1,509674,Sydney Thunder,509672,Melbourne Stars,135,,19.0
1443098,2,509672,Melbourne Stars,509674,Sydney Thunder,114,136.0,19.0
1449657,1,1335270,Joburg Super Kings,1335271,Pretoria Capitals,99,,20.0
1449657,2,1335271,Pretoria Capitals,1335270,Joburg Super Kings,100,100.0,20.0
1449663,1,1328786,MI Cape Town,1335271,Pretoria Capitals,201,,20.0
1449663,2,1335271,Pretoria Capitals,1328786,MI Cape Town,106,202.0,20.0
1459548,1,1121244,Sylhet Strikers,1239299,Fortune Barishal,125,,20.0
1459548,2,1239299,Fortune Barishal,1121244,Sylhet Strikers,126,126.0,20.0
1459550,1,1459536,Dhaka Capital,549985,Chittagong Kings,177,,20.0
1459550,2,549985,Chittagong Kings,1459536,Dhaka Capital,180,178.0,20.0
1459581,1,1060323,Khulna Tigers,549985,Chittagong Kings,163,,20.0
1459581,2,549985,Chittagong Kings,1060323,Khulna Tigers,164,164.0,20.0
1462192,1,1346027,Abu Dhabi Knight Riders,1346029,Dubai Capitals,203,,20.0
1462192,2,1346029,Dubai Capitals,1346027,Abu Dhabi Knight Riders,207,204.0,20.0
1466426,1,2,Australia,6,India,264,,50.0
1466426,2,6,India,2,Australia,267,265.0,50.0
1473453,1,1298768,Lucknow Super Giants,335978,Mumbai Indians,203,,20.0
1473453,2,335978,Mumbai Indians,1298768,Lucknow Super Giants,191,204.0,20.0
1473459,1,335973,Punjab Kings,335974,Chennai Super Kings,219,,20.0
1473459,2,335974,Chennai Super Kings,335973,Punjab Kings,201,220.0,20.0
1473469,1,335975,Delhi Capitals,335977,Rajasthan Royals,188,,20.0
1473469,2,335977,Rajasthan Royals,335975,Delhi Capitals,188,189.0,20.0
1475256,1,953847,Lahore Qalandars,953843,Islamabad United,209,,20.0
1475256,2,953843,Islamabad United,953847,Lahore Qalandars,121,210.0,20.0
1475258,1,953847,Lahore Qalandars,953845,Quetta Gladiators,111,,20.0
