match_id,innings_number,over,ball_of_over,legal_ball_of_over,previous_legal_ball,extra_type,runs_wide,no_ball_penalty_runs
1443098,1,1,2,2,1,Wide,1.0,0.0
1443098,1,11,2,2,1,Wide,1.0,0.0
1443098,2,1,4,4,3,Wide,1.0,0.0
1443098,2,2,5,5,4,Wide,1.0,0.0
1443098,2,3,5,5,4,Wide,1.0,0.0
1443098,2,9,2,2,1,Wide,2.0,0.0
1443098,2,14,6,6,5,Wide,1.0,0.0
1449657,1,15,5,5,4,Wide,1.0,0.0
1449657,2,9,3,3,2,Wide,1.0,0.0
1449657,2,10,2,2,1,Wide,1.0,0.0
1449657,2,10,4,3,2,Wide,1.0,0.0
1449657,2,12,3,3,2,Wide,1.0,0.0
1449657,2,12,5,4,3,Wide,1.0,0.0
1449663,1,8,5,4,3,Wide,1.0,0.0
1449663,1,11,4,4,3,Wide,1.0,0.0
1449663,2,12,4,4,3,Wide,1.0,0.0
1459548,1,5,3,3,2,Wide,5.0,0.0
1459548,2,5,6,6,5,Wide,2.0,0.0
1459548,2,6,2,2,1,Wide,1.0,0.0
1459548,2,10,5,5,4,Wide,1.0,0.0
1459550,1,3,6,6,5,Wide,1.0,0.0
1459550,1,9,3,3,2,Wide,1.0,0.0
1459550,1,11,3,3,2,Wide,1.0,0.0
1459550,1,15,4,4,3,Wide,1.0,0.0
1459550,1,15,7,6,5,Wide,1.0,0.0
1459550,1,18,4,3,2,Wide,1.0,0.0
1459550,1,18,8,6,5,Wide,1.0,0.0
1459550,1,20,4,4,3,Wide,1.0,0.0
1459550,2,10,5,5,4,Wide,5.0,0.0
1459581,1,19,6,6,5,Wide,1.0,0.0
1459581,1,20,2,2,1,Wide,1.0,0.0
1459581,2,1,2,2,1,Wide,1.0,0.0
1459581,2,2,4,4,3,Wide,1.0,0.0
1459581,2,17,6,6,5,Wide,1.0,0.0
1459581,2,18,3,3,2,Wide,1.0,0.0
1462192,1,17,4,4,3,Wide,1.0,0.0
1462192,1,19,2,2,1,No ball,0.0,1.0
1462192,2,3,6,6,5,Wide,1.0,0.0
1462192,2,5,4,4,3,No ball,0.0,1.0
1462192,2,10,3,2,1,Wide,1.0,0.0
1462192,2,14,7,6,5,Wide,1.0,0.0
1462192,2,15,2,2,1,Wide,1.0,0.0
1462192,2,16,6,6,5,Wide,1.0,0.0
1462192,2,18,4,4,3,Wide,1.0,0.0
1466426,1,3,3,3,2,Wide,1.0,0.0
1466426,1,4,4,3,2,Wide,1.0,0.0
1466426,1,7,6,6,5,Wide,1.0,0.0
1466426,1,34,3,3,2,Wide,1.0,0.0
1466426,2,6,2,2,1,Wide,1.0,0.0
1466426,2,48,3,3,2,Wide,1.0,0.0
1473453,1,2,4,4,3,Wide,1.0,0.0
1473453,1,6,5,5,4,Wide,1.0,0.0
1473453,1,9,4,4,3,Wide,1.0,0.0
1473453,1,11,6,6,5,Wide,1.0,0.0
1473453,1,17,6,6,5,Wide,1.0,0.0
1473453,1,20,6,6,5,Wide,1.0,0.0
1473453,2,13,3,3,2,Wide,1.0,0.0
1473453,2,13,5,4,3,Wide,1.0,0.0
1473453,2,17,4,4,3,Wide,1.0,0.0
1473459,1,1,3,3,2,No ball,0.0,1.0
1473459,1,6,6,6,5,Wide,1.0,0.0
1473459,1,7,2,2,1,No ball,0.0,1.0
1473459,1,20,2,2,1,Wide,1.0,0.0
1473459,2,8,4,4,3,Wide,1.0,0.0
1473459,2,10,4,4,3,Wide,1.0,0.0
1473459,2,10,7,6,5,Wide,1.0,0.0
1473459,2,11,6,6,5,Wide,1.0,0.0
1473459,2,13,3,3,2,Wide,1.0,0.0
1473459,2,16,2,2,1,Wide,2.0,0.0
1473459,2,16,4,3,2,Wide,1.0,0.0
1473459,2,19,2,2,1,Wide,1.0,0.0
1473469,1,13,4,4,3,Wide,1.0,0.0
1473469,1,18,5,5,4,Wide,1.0,0.0
1473469,1,19,6,6,5,Wide,1.0,0.0
1473469,1,20,3,2,1,Wide,1.0,0.0
1473469,2,3,2,2,1,Wide,1.0,0.0
1473469,2,3,6,5,4,Wide,1.0,0.0
1473469,2,6,3,3,2,No ball,0.0,1.0
1475256,1,2,5,5,4,Wide,1.0,0.0
1475256,1,3,6,6,5,Wide,1.0,0.0
1475256,1,17,5,5,4,Wide,1.0,0.0
1475256,1,20,3,3,2,No ball,0.0,1.0
1475256,1,20,6,5,4,Wide,1.0,0.0
1475256,2,17,3,3,2,Wide,1.0,0.0
1475258,1,3,6,6,5,Wide,1.0,0.0
1475258,1,9,2,2,1,Wide,1.0,0.0
1475258,1,11,2,2,1,Wide,1.0,0.0
