match_id,innings_number,over,ball_of_over,legal_ball_of_over,facing_batter_id,facing_batter_name,facing_batter_number,facing_batter_balls_faced,non_facing_batter_id,non_facing_batter_name,non_facing_batter_number,non_facing_batter_balls_faced,bowler_id,bowler_name,bowler_balls_bowled,runs_off_bat,no_ball_penalty_runs,runs_wide,runs_bye,runs_leg_bye,total_balls_so_far,total_runs_so_far,total_wickets_so_far,wicket_number,wicket_type,out_batter_id,out_batter_name
1459548,1,13,1,1,270135,Ariful Haque,7,7,,,,1,1072470,Shaheen Shah Afridi,13,1,,,,,74,84,7,,,,
1459548,1,13,6,6,270135,Ariful Haque,7,8,,,,5,1072470,Shaheen Shah Afridi,18,0,,,,,79,85,7,,,,
1459548,1,17,1,1,270135,Ariful Haque,7,1,,,,0,681117,Faheem Ashraf,1,0,,,,,98,0,0,,,,
1459548,1,17,2,2,270135,Ariful Haque,7,2,,,,0,681117,Faheem Ashraf,2,0,,,,,99,0,0,,,,
1459548,1,17,3,3,270135,Ariful Haque,7,3,,,,0,681117,Faheem Ashraf,3,0,,,,,100,0,0,,,,
1459548,1,17,4,4,270135,Ariful Haque,7,4,,,,0,681117,Faheem Ashraf,4,0,,,,,101,0,0,,,,
1459548,1,17,5,5,270135,Ariful Haque,7,5,,,,0,681117,Faheem Ashraf,5,1,,,,,102,1,0,,,,
1475256,1,1,1,1,512191,Fakhar Zaman,1,1,,,,0,1158088,Naseem Shah,1,4,,,,,1,4,0,,,,
1475256,1,1,2,2,512191,Fakhar Zaman,1,2,,,,0,1158088,Naseem Shah,2,0,,,,,2,4,0,,,,
1475256,1,1,3,3,512191,Fakhar Zaman,1,3,,,,0,1158088,Naseem Shah,3,0,,,,,3,4,0,,,,
1475256,1,1,4,4,512191,Fakhar Zaman,1,4,,,,0,1158088,Naseem Shah,4,0,,,,,4,4,0,,,,
1475256,1,1,5,5,512191,Fakhar Zaman,1,5,,,,0,1158088,Naseem Shah,5,0,,,,,5,4,0,,,,
1475256,2,1,1,1,647785,Sahibzada Farhan,1,1,,,,0,1072470,Shaheen Shah Afridi,1,0,,,,,1,0,0,,,,
1475256,2,1,2,2,647785,Sahibzada Farhan,1,2,,,,0,1072470,Shaheen Shah Afridi,2,2,,,,,2,2,0,,,,
1475256,2,1,3,3,647785,Sahibzada Farhan,1,3,,,,0,1072470,Shaheen Shah Afridi,3,0,,,,,3,2,0,,,,
1475256,2,1,4,4,647785,Sahibzada Farhan,1,4,,,,0,1072470,Shaheen Shah Afridi,4,0,,,,,4,2,0,,,,
1475256,2,1,5,5,647785,Sahibzada Farhan,1,5,,,,0,1072470,Shaheen Shah Afridi,5,2,,,,,5,4,0,,,,
1475258,1,1,1,1,512191,Fakhar Zaman,1,1,,,,0,1159495,Khurram Shahzad,1,0,,,,,1,0,0,,,,
1475258,1,1,2,2,512191,Fakhar Zaman,1,2,,,,0,1159495,Khurram Shahzad,2,0,,,,,2,0,0,,,,
1475258,1,11,1,1,922941,Abdullah Shafique,3,28,,,,0,1294520,Mohammad Zeeshan,7,1,,,,,63,103,2,,,,
