player_id,player_name,gender,batting_hand,batting_hand.1,bowling_type
990081,Mohammad Naim,m,left-hand bat,,
1137262,Azam Khan,m,right-hand bat,,
670025,Shimron Hetmyer,m,left-hand bat,,
1460388,id1460388id,,,,
1277545,Abishek Porel,m,left-hand bat,,
1331515,Mohammad Naeem,m,right-hand bat,,
772293,Michael Pepper,m,right-hand bat,,
1139511,Parvez Hossain Emon,m,left-hand bat,,
297628,Sam Billings,m,right-hand bat,,
1161024,Prabhsimran Singh,m,right-hand bat,,
269237,Mohammad Mithun,m,right-hand bat,,
772361,Sam Harper,m,right-hand bat,,
931581,Rishabh Pant,m,left-hand bat,,
422108,KL Rahul,m,right-hand bat,,
995037,Mahidul Islam Ankon,m,right-hand bat,,
457280,Adam Rossington,m,right-hand bat,,
1175488,Dhruv Jurel,m,right-hand bat,,
425943,Sanju Samson,m,right-hand bat,,
605661,Ryan Rickelton,m,left-hand bat,,
647785,Sahibzada Farhan,m,right-hand bat,,
1168651,Haider Ali,m,right-hand bat,,
581379,Shai Hope,m,right-hand bat,,
1406542,Steve Stolk,m,right-hand bat,,
334337,Peter Handscomb,m,right-hand bat,,
1131978,Ashutosh Sharma,m,right-hand bat,,
1081730,Matthew Gilkes,m,left-hand bat,,
1161050,Sediqullah Atal,m,left-hand bat,,
1070997,Connor Esterhuizen,m,right-hand bat,,
485379,Andries Gous,m,right-hand bat,,
1425202,Keagan Lion-Cachet,m,right-hand bat,,
1331515,Muhammad Naeem,m,right-hand bat,,
623977,Agha Salman,,,,
