match_id,innings_number,over,ball_of_over,legal_ball_of_over,facing_batter_id,facing_batter_name,facing_batter_number,facing_batter_balls_faced,non_facing_batter_id,non_facing_batter_name,non_facing_batter_number,non_facing_batter_balls_faced,bowler_id,bowler_name,bowler_balls_bowled,runs_off_bat,no_ball_penalty_runs,runs_wide,runs_bye,runs_leg_bye,total_balls_so_far,total_runs_so_far,total_wickets_so_far,wicket_number,wicket_type,out_batter_id,out_batter_name,missing_out_batter
1449663,2,1,1,1,897549,Will Jacks,1,1,1406542.0,Steve Stolk,2.0,0,379926,Dane Piedt,1,0,,,,,1,0,1,1.0,,,,True
1449663,2,9,2,2,1425202,Keagan Lion-Cachet,6,5,355269.0,James Neesham,7.0,3,381006,Thomas Kaber,2,0,,,,,20,21,2,2.0,,,,True
1449663,2,12,1,1,535393,Senuran Muthusamy,8,8,355269.0,James Neesham,7.0,12,1070665,Dewald Brevis,1,0,,,,,37,50,3,3.0,,,,True
1449663,2,13,1,1,355269,James Neesham,7,15,1070739.0,Matthew Boast,9.0,3,379926,Dane Piedt,13,0,,,,,44,57,4,4.0,,,,True
1449663,2,14,3,3,1070739,Matthew Boast,9,9,272477.0,Jason Behrendorff,10.0,2,381006,Thomas Kaber,9,0,,,,,52,67,5,5.0,,,,True
1449663,2,14,6,6,272477,Jason Behrendorff,10,4,1072026.0,Gideon Peters,11.0,1,381006,Thomas Kaber,12,0,,,,,55,68,6,6.0,,,,True
1473453,2,2,4,4,897549,Will Jacks,1,7,605661.0,Ryan Rickelton,2.0,3,1176959,Akash Deep,4,0,,,,,10,11,1,1.0,,,,True
1473453,2,3,2,2,605661,Ryan Rickelton,2,5,1287032.0,Naman Dhir,3.0,2,475281,Shardul Thakur,8,0,,,,,14,17,2,2.0,,,,True
1473453,2,9,1,1,1287032,Naman Dhir,3,24,446507.0,Suryakumar Yadav,4.0,13,1460529,Digvesh Rathi,7,0,,,,,49,86,3,3.0,,,,True
1473453,2,17,1,1,446507,Suryakumar Yadav,4,43,1170265.0,Tilak Varma,5.0,18,694211,Avesh Khan,13,0,,,,,100,152,4,4.0,,,,True
1473453,2,19,5,5,625371,Hardik Pandya,6,11,1170265.0,Tilak Varma,5.0,23,475281,Shardul Thakur,23,1,,,,,117,180,5,5.0,,,,True
1473459,2,7,3,3,959767,Rachin Ravindra,1,23,379140.0,Devon Conway,2.0,17,325026,Glenn Maxwell,9,0,,,,,40,61,1,1.0,,,,True
1473459,2,8,2,2,1060380,Ruturaj Gaikwad,3,3,379140.0,Devon Conway,2.0,19,493773,Lockie Ferguson,2,0,,,,,45,62,2,2.0,,,,True
1473459,2,16,7,5,714451,Shivam Dube,4,27,379140.0,Devon Conway,2.0,43,493773,Lockie Ferguson,17,0,,,,,103,151,3,3.0,,,,True
1473459,2,18,5,5,28081,MS Dhoni,5,6,379140.0,Devon Conway,2.0,49,493773,Lockie Ferguson,23,6,,,,,115,171,4,4.0,,,,True
1473459,2,20,1,1,28081,MS Dhoni,5,12,234675.0,Ravindra Jadeja,6.0,2,1070196,Yash Thakur,19,0,,,,,124,192,5,5.0,,,,True
1473469,2,9,1,1,1079434,Riyan Parag,3,11,1151278.0,Yashasvi Jaiswal,1.0,20,554691,Axar Patel,7,0,,,,,52,76,1,1.0,,,,True
1473469,2,14,2,2,1151278,Yashasvi Jaiswal,1,37,604527.0,Nitish Rana,4.0,14,559235,Kuldeep Yadav,14,0,,,,,83,112,2,2.0,,,,True
1473469,2,18,4,4,604527,Nitish Rana,4,28,1175488.0,Dhruv Jurel,5.0,12,311592,Mitchell Starc,16,0,,,,,109,161,3,3.0,,,,True
1473469,2,20,6,6,1175488,Dhruv Jurel,5,17,670025.0,Shimron Hetmyer,6.0,9,311592,Mitchell Starc,24,1,,,,,124,188,4,4.0,,,,True
